Assembly accession	Name	NCBI taxonomy	GTDB taxonomy (r214)	External link 1	External link 2	Biosample accession	Bioproject accession	WGS accession	Sequencing platform	Submission date	Submitter	Title	PMID	DOI	Publish_date	Author	Geographic location	Environment	Geographic coordinates	point	Latitude	longitude	Completeness	Contamination	quality	# contigs	Largest contig	Total length	GC (%)	N50	N50	Assembly level
GCA_013349415.1	Desulfuromonadales_bacterium_MAG_21601_9_030			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349415.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349415.1"">GTDB</a>"	SAMN14911674	PRJNA632036	DUZT00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Canada: Ontario	freshwater	49.6900 N 93.7180 W	(52.9312176, -85.85237998667819, 0.0)	52.9312176	-85.8523799866782	78.15	8.39	Medium	232	69899	2536371	54.11	20074	20074	Contig
GCA_013349435.1	Planctomycetota_bacterium_MAG_18080_pl_157	d__Bacteria;<br>p__Planctomycetes;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Planctomycetota;<br>c__Phycisphaerae;<br>o__Sedimentisphaerales;<br>f__Anaerohalosphaeraceae;<br>g__QNBT01;<br>s__QNBT01 sp013349435	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349435.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349435.1"">GTDB</a>"	SAMN14911671	PRJNA632036	DUZQ00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	USA: California, Salton Sea	Hypersaline	33.4166 N 115.9166 W	(33.01732645, -115.92708795983035, 0.0)	33.01732645	-115.92708795983	90.91	3.41	High	139	105802	3144921	48.44	34208	34208	Contig
GCA_013349485.1	Candidatus_Hydrogenedentes_bacterium_MAG_17963_hgd_111	d__Bacteria;<br>p__Candidatus Hydrogenedentes;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Hydrogenedentota;<br>c__Hydrogenedentia;<br>o__Hydrogenedentiales;<br>f__SLHB01;<br>g__DUZN01;<br>s__DUZN01 sp013349485	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349485.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349485.1"">GTDB</a>"	SAMN14911667	PRJNA632036	DUZM00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	USA: California, Salton Sea	hypersaline	33.3000 N 115.8000 W	(33.01732645, -115.92708795983035, 0.0)	33.01732645	-115.92708795983	71.11	1.46	Medium	288	32433	3018788	60.18	11662	11662	Contig
GCA_013349495.1	Deltaproteobacteria_bacterium_MAG_15370_dsfb_81	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__SURF-15;<br>g__DUZK01;<br>s__DUZK01 sp013349495	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349495.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349495.1"">GTDB</a>"	SAMN14911665	PRJNA632036	DUZK00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Sweden: Oskarshamn	freshwater	57.4344 N 16.6600 E	(57.4354483, 16.6691272, 0.0)	57.4354483	16.6691272	89.68	5.59	Medium	334	56521	3868622	48.4	14397	14397	Contig
GCA_013349515.1	Deltaproteobacteria_bacterium_MAG_17929_sntb_26			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349515.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349515.1"">GTDB</a>"	SAMN14911666	PRJNA632036	DUZL00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	USA: Minnesota	freshwater	47.5028 N 93.4828 W	(47.50280877628728, -93.48311691229172, 0.0)	47.5028087762873	-93.4831169122917	62.13	5.1	Medium	276	50757	2777907	53.1	17193	17193	Contig
GCA_013349525.1	Planctomycetota_bacterium_MAG_17991_pl_60	d__Bacteria;<br>p__Planctomycetes;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Planctomycetota;<br>c__Phycisphaerae;<br>o__Sedimentisphaerales;<br>f__Anaerohalosphaeraceae;<br>g__QNBT01;<br>s__QNBT01 sp013349435	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349525.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349525.1"">GTDB</a>"	SAMN14911669	PRJNA632036	DUZO00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	USA: California, Salton Sea	Hypersaline	33.4166 N 115.9166 W	(33.01732645, -115.92708795983035, 0.0)	33.01732645	-115.92708795983	64.2	0.0	Medium	145	35037	1308839	49.53	10285	10285	Contig
GCA_013349535.1	Candidatus_Hydrogenedentes_bacterium_MAG_17971_hgd_130	d__Bacteria;<br>p__Candidatus Hydrogenedentes;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Hydrogenedentota;<br>c__Hydrogenedentia;<br>o__Hydrogenedentiales;<br>f__SLHB01;<br>g__DUZN01;<br>s__DUZN01 sp013349485	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349535.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349535.1"">GTDB</a>"	SAMN14911668	PRJNA632036	DUZN00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	USA: California, Salton Sea	hypersaline	33.3000 N 115.8000 W	(33.01732645, -115.92708795983035, 0.0)	33.01732645	-115.92708795983	60.01	1.16	Medium	240	41088	2683901	60.43	12541	12541	Contig
GCA_013349585.1	Nitrospinae_bacterium_MAG_09705_ntspn_70	d__Bacteria;<br>p__Nitrospinae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospinota;<br>c__Nitrospinia;<br>o__Nitrospinales;<br>f__Nitrospinaceae;<br>g__UBA8687;<br>s__UBA8687 sp013349585	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349585.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349585.1"">GTDB</a>"	SAMN14911661	PRJNA632036	DUZG00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Arctic Ocean: Canada Basin	marine	77.0991 N 150.2252 W		77.0991	-150.2252	67.25	2.56	Medium	120	106654	2024644	42.63	30902	30902	Contig
GCA_013349595.1	Nitrospirota_bacterium_MAG_10313_ntr_31	d__Bacteria;<br>p__Nitrospirae;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__DUZI01;<br>g__DUZI01;<br>s__DUZI01 sp013349595	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349595.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349595.1"">GTDB</a>"	SAMN14911663	PRJNA632036	DUZI00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	South Africa: Limpopo	hot spring water	22.5304 S 30.6814 E	(-22.527765, 30.6809239, 0.0)	-22.527765	30.6809239	90.2	3.64	High	344	31652	1933163	35.33	7568	7568	Contig
GCA_013349615.1	Planctomycetota_bacterium_MAG_11118_pl_115	d__Bacteria;<br>p__Planctomycetes;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Planctomycetota;<br>c__Phycisphaerae;<br>o__Sedimentisphaerales;<br>f__SG8-4;<br>g__CS2-K091;<br>s__CS2-K091 sp013349615	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349615.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349615.1"">GTDB</a>"	SAMN14911664	PRJNA632036	DUZJ00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Denmark:Aarhus Bay	marine	56.1030 N 10.4580 E	(55.670249, 10.3333283, 0.0)	55.670249	10.3333283	89.44	1.24	Medium	157	100191	3767441	48.98	33372	33372	Contig
GCA_013349635.1	Deltaproteobacteria_bacterium_MAG_09788_naph_37			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349635.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349635.1"">GTDB</a>"	SAMN14911662	PRJNA632036	DUZH00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Indian Ocean:near North Sumatra	marine	1.7590 N 96.7740 E	(4.3685491, 97.0253024, 0.0)	4.3685491	97.0253024	49.08	0.97	Low	137	35155	899797	47.23	7418	7418	Contig
GCA_013349665.1	Rhodospirillaceae_bacterium_MAG_06104_tlms_034	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Rhodospirillaceae;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Magnetospirillaceae;<br>g__Telmatospirillum;<br>s__Telmatospirillum sp013349665	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349665.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349665.1"">GTDB</a>"	SAMN14911660	PRJNA632036	DUZF00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	USA:Crystal Bog, Wisconsin, USA	freshwater	46.0072 N 89.6063 W	(46.006418, -89.60718, 0.0)	46.006418	-89.60718	89.59	2.53	Medium	353	48282	3186839	64.25	13005	13005	Contig
GCA_013349685.1	Rhodospirillaceae_bacterium_MAG_05596_2-02_51	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Rhodospirillaceae;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales_A;<br>f__2-02-FULL-58-16;<br>g__GCA-2686765;<br>s__GCA-2686765 sp013349695	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349685.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349685.1"">GTDB</a>"	SAMN14911659	PRJNA632036	DUZE00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Pacific Ocean: Eastern Tropical North Pacific	marine	Pacific Ocean: Eastern Tropical North Pacific		31.2683799940974	-172.018552493154	76.91	0.25	Medium	329	26063	1831947	61.19	6777	6777	Contig
GCA_013349695.1	Rhodospirillaceae_bacterium_MAG_05422_2-02_14	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Rhodospirillaceae;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales_A;<br>f__2-02-FULL-58-16;<br>g__GCA-2686765;<br>s__GCA-2686765 sp013349695	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349695.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349695.1"">GTDB</a>"	SAMN14911658	PRJNA632036	DUZD00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Pacific Ocean: Eastern Tropical North Pacific	marine	Pacific Ocean: Eastern Tropical North Pacific		31.2683799940974	-172.018552493154	85.45	0.5	Medium	255	45819	2281835	61.09	11800	11800	Contig
GCA_013349725.1	Deltaproteobacteria_bacterium_MAG_00792_naph_016	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__DSM-4660;<br>o__Desulfatiglandales;<br>f__Desulfatiglandaceae;<br>g__DUZB01;<br>s__DUZB01 sp013349725	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349725.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349725.1"">GTDB</a>"	SAMN14911656	PRJNA632036	DUZB00000000	Illumina GAIIx	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Sweden:KBA site, Vaertahamnen, Baltic Sea	marine	59.363333 N 18.119167 E	(59.3634521, 18.1205996, 0.0)	59.3634521	18.1205996	89.28	5.86	Medium	409	34622	3032840	49.74	11269	11269	Contig
GCA_013349735.1	Rhodospirillaceae_bacterium_MAG_04806_tlms_2	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Rhodospirillaceae;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Magnetospirillaceae;<br>g__Telmatospirillum;<br>s__Telmatospirillum sp013349735	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349735.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349735.1"">GTDB</a>"	SAMN14911657	PRJNA632036	DUZC00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	USA:Crystal Bog, Wisconsin, USA	freshwater	46.0072 N 89.6063 W	(46.006418, -89.60718, 0.0)	46.006418	-89.60718	87.64	2.12	Medium	309	32980	2085124	57.51	8435	8435	Contig
GCA_013349745.1	Deltaproteobacteria_bacterium_MAG_00241_naph_010			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349745.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349745.1"">GTDB</a>"	SAMN14911655	PRJNA632036	DUZA00000000	Illumina GAIIx	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Sweden:KBB site, Vaertahamnen, Baltic Sea	marine	59.350163 N 18.107847 E	(59.3511131, 18.1072271, 0.0)	59.3511131	18.1072271	55.59	2.41	Medium	324	24445	1547003	49.45	6761	6761	Contig
GCA_013349775.1	Gammaproteobacteria_bacterium_MAG_00215_gam_020	d__Bacteria;<br>p__Proteobacteria;<br>c__Gammaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Gammaproteobacteria;<br>o__GCF-002020875;<br>f__GCF-002020875;<br>g__Thiopontia;<br>s__Thiopontia sp013349825	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349775.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349775.1"">GTDB</a>"	SAMN14911654	PRJNA632036	DUYZ00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Canada: Saanich Inlet 48, Vancouver Island, BC	marine	48.6 N 123.5 W	(48.760812650000005, -123.19150890213936, 0.0)	48.76081265	-123.191508902139	95.73	5.34	Medium	507	37063	2931288	49.02	8779	8779	Contig
GCA_013349805.1	Gammaproteobacteria_bacterium_MAG_00212_gam_1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349805.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349805.1"">GTDB</a>"	SAMN14911653	PRJNA632036	DUYY00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Canada: Saanich Inlet 48, Vancouver Island, BC	marine	48.6 N 123.5 W	(48.760812650000005, -123.19150890213936, 0.0)	48.76081265	-123.191508902139	78.43	5.08	Medium	955	14926	2103212	48.4	2865	2865	Contig
GCA_013349825.1	Gammaproteobacteria_bacterium_MAG_00172_gam_018	d__Bacteria;<br>p__Proteobacteria;<br>c__Gammaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Gammaproteobacteria;<br>o__GCF-002020875;<br>f__GCF-002020875;<br>g__Thiopontia;<br>s__Thiopontia sp013349825	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349825.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349825.1"">GTDB</a>"	SAMN14911651	PRJNA632036	DUYW00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Canada: Saanich Inlet 48, Vancouver Island, BC	marine	48.6 N 123.5 W	(48.760812650000005, -123.19150890213936, 0.0)	48.76081265	-123.191508902139	96.95	3.05	High	274	57863	2866084	48.98	18846	18846	Contig
GCA_013349835.1	Gammaproteobacteria_bacterium_MAG_00188_gam_006	d__Bacteria;<br>p__Proteobacteria;<br>c__Gammaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Gammaproteobacteria;<br>o__GCF-002020875;<br>f__GCF-002020875;<br>g__Thiopontia;<br>s__Thiopontia sp013349825	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349835.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349835.1"">GTDB</a>"	SAMN14911652	PRJNA632036	DUYX00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Canada: Saanich Inlet 48, Vancouver Island, BC	marine	48.6 N 123.5 W	(48.760812650000005, -123.19150890213936, 0.0)	48.76081265	-123.191508902139	95.12	4.19	High	565	29303	2663040	48.83	6818	6818	Contig
GCA_013349845.1	Gammaproteobacteria_bacterium_MAG_00160_gam_009	d__Bacteria;<br>p__Proteobacteria;<br>c__Gammaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Gammaproteobacteria;<br>o__GCF-002020875;<br>f__GCF-002020875;<br>g__Thiopontia;<br>s__Thiopontia sp013349825	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349845.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349845.1"">GTDB</a>"	SAMN14911650	PRJNA632036	DUYV00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Canada: Saanich Inlet 48, Vancouver Island, BC	marine	48.6 N 123.5 W	(48.760812650000005, -123.19150890213936, 0.0)	48.76081265	-123.191508902139	99.39	4.88	High	318	54203	2903803	49.11	15372	15372	Contig
GCA_013349855.1	Gammaproteobacteria_bacterium_MAG_00150_gam_010	d__Bacteria;<br>p__Proteobacteria;<br>c__Gammaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Gammaproteobacteria;<br>o__GCF-002020875;<br>f__GCF-002020875;<br>g__Thiopontia;<br>s__Thiopontia sp013349825	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349855.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349855.1"">GTDB</a>"	SAMN14911649	PRJNA632036	DUYU00000000	Illumina HiSeq	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Canada: Saanich Inlet 48, Vancouver Island, BC	marine	48.6 N 123.5 W	(48.760812650000005, -123.19150890213936, 0.0)	48.76081265	-123.191508902139	98.17	3.96	High	486	39017	2847655	49.09	8863	8863	Contig
GCA_013349875.1	Deltaproteobacteria_bacterium_MAG_00134_naph_006			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013349875.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_013349875.1"">GTDB</a>"	SAMN14911648	PRJNA632036	DUYT00000000	Illumina GAIIx	2020-06-16 00:00:00	Research Center of Biotechnology RAS	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	M Uzun, et al.	Sweden:KBA site, Vaertahamnen, Baltic Sea	marine	59.363333 N 18.119167 E	(59.3634521, 18.1205996, 0.0)	59.3634521	18.1205996	60.69	3.87	Medium	692	28202	1498667	49.54	2676	2676	Contig
GCA_015228675.1	Desulfobacterales_bacterium_nYD0425bin6	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__Desulfobacterales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__YD0425bin50;<br>g__YD0425bin50;<br>s__YD0425bin50 sp002753105	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015228675.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015228675.1"">GTDB</a>"	SAMN15005476	PRJNA400260	JADGCZ000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Beijing	freshwater	39.974732 N 116.368688 E	(39.97443735, 116.36869950329081, 0.0)	39.97443735	116.368699503291	93.5	2.19	High	467	112709	5417822	36.82	18177	16471	Scaffold
GCA_015228685.1	Desulfobacterales_bacterium_nYD0425bin5	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__Desulfobacterales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__YD0425bin51;<br>g__YD0425bin51;<br>s__YD0425bin51 sp002753225	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015228685.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015228685.1"">GTDB</a>"	SAMN15005478	PRJNA400260	JADGCY000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Beijing	freshwater	39.974732 N 116.368688 E	(39.97443735, 116.36869950329081, 0.0)	39.97443735	116.368699503291	96.77	0.52	High	133	381417	5628840	32.38	103346	103346	Scaffold
GCA_015228695.1	Alphaproteobacteria_bacterium_nYQH56bin3	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Rhodospirillaceae;<br>g__JADGDA01;<br>s__JADGDA01 sp015228695	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_015228695.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_015228695.1"">GTDB</a>"	SAMN15005533	PRJNA400260	JADGDA000000000	Illumina HiSeq	2020-11-04 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Expanding magnetic organelle biogenesis in the domain Bacteria	33126926.0	10.1186/s40168-020-00931-9	2020	W Lin, et al.	China: Beijing	freshwater	40.39833 N 116.67777 E	(40.396918850000006, 116.67897836250332, 0.0)	40.39691885	116.678978362503	81.68	0.5	Medium	436	49768	2796001	65.57	8577	8577	Contig
